client_id,signup_date,country,email_masked,email_token,referral_source,account_type,kyc_status,signup_platform,promo_code,assigned_manager,source_file_name,source_row_number,row_hash
CL016,2024-03-10,Indonesia,d***@email.com,5b5e005a0e372f6ca3f632b195c1ee35c1f12d9c498aeb10b7211bafab1fc02e,social_media,standard,approved,mobile,WELCOME,MGR03,client_signup.json,16,d4ddd103e51d6f1c3e0b8b5fd70bbfa9ac402be4dc047971a933af11acbf8aa6
CL017,2024-03-18,UK,t***@email.com,6d9bf54a4c37a74858df7de7b7006594014cc8af59ea33bac5101ac3d91a2434,paid_search,standard,approved,web,,MGR01,client_signup.json,17,0c4ada88b545839534be2a4272f1f7aab0f463eef059e3dbb7c0bc025087d030
CL018,2024-03-25,India,r***@email.com,1731dc7c453e8dce3795c96b548ca5d5a4a5401f42fe74a0c0ecefd6ee3da17d,affiliate,standard,approved,mobile,PROMO10,MGR02,client_signup.json,18,e9ef1f76fde317a4ba57bd0e22f4ebf2bfd9c0cbdf4213660c350ed935691ff4
CL019,2024-04-02,Singapore,m***@email.com,92b53af6b7f123f58f2ee2fbb7f22d07395092e1eba1bf513424f32b2f3f55b9,referral,vip,approved,web,,MGR04,client_signup.json,19,a9fdb96f3bc93328f4029574ad5630fa58dee38db4d2f7f4c4ae43fd17380fb6
CL020,2024-04-08,Germany,h***@email.com,428772b9b77beeeb0b7960d873c6e4b41e879e427fc8242ae7fc70ec6818f619,organic,professional,approved,web,,MGR03,client_signup.json,20,5b02d06726ace5d2c75624575257c8fd586a70692024b02726aee918e1425a31
CL021,2024-04-15,Nigeria,a***@email.com,8357a8822980199b2d645273b2c658621757886010f79ba7deabf54f380b4c25,social_media,standard,approved,mobile,,MGR01,client_signup.json,21,d283ea8f4d8cf6fb0e152312c3b727c89e003dfe4ab8e04191299789fe40ac96
CL022,2024-04-20,Malaysia,w***@email.com,b4ec22cb3e04248e0b93bcc95476405f5a0aa5ae37a49a51930e8bf006be208e,paid_search,standard,approved,web,WELCOME,MGR02,client_signup.json,22,93028dc00fd41850d40353cfafeab87711f6ebe890f72b90aa2f9d8cb36c07c1
CL023,2024-04-28,Brazil,a***@email.com,eb3a4a22751c46f30cbf541c7495c9db54af3429952cf4035ab7b4699b87ea3b,affiliate,standard,approved,mobile,,MGR04,client_signup.json,23,2a264a6d0f04bbb7471cb4cadb947e3fd34170d1e1587e61dfa1b4c57cd8b604
CL024,2024-05-03,Thailand,k***@email.com,92839d02a77718698ed2737ff112b087222f64c390d44332e0c45376ef08281f,organic,standard,approved,web,,MGR03,client_signup.json,24,23ea989c1e263742a7574d4222bf724be2fead00669a1f9647f5cb10dbd13a42
CL025,2024-05-10,UAE,s***@email.com,d269d78923ba3089a6c69f0aa123f62c55ede9abd6061c2ab158da1883238fdb,referral,vip,approved,web,,MGR02,client_signup.json,25,64b7acd49fc7114d9ee8dc400dc55827e6c3cb5fb3c8fbb550122d91a351349b
CL026,2024-05-15,Indonesia,a***@email.com,abaa95111e21b084026467c0c252ef9fd11123be52795f242f667335ed4bc155,social_media,standard,pending,mobile,,MGR01,client_signup.json,26,14dc109c4bce644c90cc1eac4d9cbdf10f384219ce3e291eadaf29cf8e803f18
CL027,2024-05-20,UK,e***@email.com,ee7243773275f757019e426c560a3c3791c254fd51fc55481a8cbee345e917ee,paid_search,professional,approved,web,PROMO10,MGR04,client_signup.json,27,258f715149d6fc0cdfa89687c4137cea67a894f44f27aa0f9801fb8aef28f964
CL028,2024-05-28,India,v***@email.com,b1c061b7187458b5d1dc46e400d298ecaee9ba3dae4f3b23e2161bf6ac2dacad,affiliate,standard,approved,mobile,,MGR03,client_signup.json,28,90409a635d0d9fee5bc8c9a0ed867a755038deb77d538f79ed5c8b041d709663
CL029,2024-06-05,Singapore,j***@email.com,1b005f9bf5a9fc8d94630e5a64a8d4a9fed9667b9af7e899bca43930aba2e530,organic,standard,approved,web,,MGR02,client_signup.json,29,5ae5ee413284b2e52519229f0b27aaf199eb8e74022581821e15cb6dee983399
CL030,2024-06-12,Malaysia,n***@email.com,d57d8c9b4f74094e9ac887f2e95a49e77eeb62b0b7a08d107872380653cf5f15,referral,standard,approved,web,WELCOME,MGR01,client_signup.json,30,f8ce486df47f793f2cb29de4740c1987017a418e54633476b97bce5eada08026
